,BERT_label,BERT_score,neg_val,pos_val,neu_val,comp_val,text
0,['POSITIVE'],[0.999546468257904],0.0,0.419,0.581,0.9285,"Wow sir This is very strong project and this projector has a lot of attractions, so hopefully the project will be b… https://t.co/retou6qGDf"
1,['NEGATIVE'],[0.9935991764068604],0.123,0.1,0.776,-0.128,"Don Chaplin
0.2 ETH ⚡

https://t.co/klwIjep76X

Join The Discord 
For Giveaways 👇

https://t.co/RRzSLIwTXN

#BTC… https://t.co/axX4ICiM88"
2,['NEGATIVE'],[0.9983165264129639],0.054,0.0,0.946,-0.0516,"RT @Doshi_Token: Dōshi x @CryptoKing_NFT 

https://t.co/SLSWDaS0TO

You can leave it in ethereum or just buy $Doshi ….
25+ buys in a row…"
3,['POSITIVE'],[0.999833345413208],0.339,0.661,0.0,0.5067,Beauty!!! 🔥
4,['NEGATIVE'],[0.994526207447052],0.0,0.0,1.0,0.0,"RT @AirdropStario: 💧 LOCKON Airdrop 💧

🏆 Task:       ➕ 10 LOCK (~$3) for 5000 random participants each.

👨‍👩‍👧 Referral:➕ 100 LOCK (~$30) f…"
5,['POSITIVE'],[0.9961652755737305],0.119,0.337,0.545,0.6597,"The project seems to have great potential 🔥
Should definitely feature it on @GlobalNftCentre"
6,['NEGATIVE'],[0.9968788623809814],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: M1 Mutant Serum bought for 0.209 ETH on OpenSea 🌊 https://t.co/191s17Lzhd 
 #GACC #MACC #GrandpaApeCountryClub #MutantApe…"
7,['NEGATIVE'],[0.998008668422699],0.0,0.0,1.0,0.0,"RT @GACCSalesBot: Grandpa Ape #1665 (Rank: #4328) bought for 0.62 ETH on OpenSea 🌊 https://t.co/rGJZTkBZvx 
 #GACC #GrandpaApeCountryClub #…"
8,['NEGATIVE'],[0.9968574047088623],0.0,0.108,0.892,0.4404,"RT @metararity: 🎁#NFTGiveaway🎁

We've partnered with @Lapix_Zero to give away

$400 (4x $100) #ETH or #Solana
10x LAPIX-ZERO WL Spots
1x LA…"
9,['NEGATIVE'],[0.9958368539810181],0.0,0.0,1.0,0.0,"RT @Chinonye_NA: The first Piece from my new collection MMG:Metaverse Material Gworls is now available on @opensea for 0.1 $ETH

https://t.…"
10,['NEGATIVE'],[0.9966312050819397],0.0,0.0,1.0,0.0,Space Rider #228 bought for 0.043 ETH on OpenSea 🌊 https://t.co/jQ7exb8JGA
